model,hyperparam_idx,AUC_01,AUC_02,AUC_03,AUC_04,AUC_05,AUC_06,AUC_07,AUC_08,AUC_09,AUC_10,AUC_11,AUC_12,AUC_13,AUC_14,AUC_15,AUC_mean,version,AUC_sd,AUC_lb,AUC_ub,modelID
XGB,727,0.819976201282709,0.816329708632043,0.813927605486704,0.819390655410224,0.822608620464714,0.82407692716374,0.823797342320319,0.816349552326531,0.818899439051853,0.822899972821184,0.823866084965491,0.815921191908516,0.820792265026397,0.822626133743459,0.821561336094151,0.820201535779869,Extra biomarkers,0.00329984676725782,0.816901689012611,0.823501382547127,XGB.727
XGB,1249,0.819566021295152,0.817717058531951,0.81377596280214,0.818857084022663,0.823734249985281,0.824552800478211,0.824141929582901,0.815996296889095,0.818257044587008,0.823829563474009,0.82543489879324,0.81653191898716,0.819278764320302,0.822194984179285,0.819067475943569,0.820195736924798,Extra biomarkers,0.00356776334338612,0.816627973581412,0.823763500268184,XGB.1249
XGB,133,0.820301609042315,0.818519951213225,0.813523709890642,0.818293732108627,0.822984201794633,0.825200688162831,0.823334741340256,0.815465732195611,0.817958768937754,0.824134077649833,0.824994039782372,0.815910305625171,0.820739237363353,0.821962703737137,0.819472567296024,0.820186404409319,Extra biomarkers,0.00360403363212356,0.816582370777196,0.823790438041443,XGB.133
XGB,153,0.818990406372265,0.818963569735214,0.813545408597839,0.817929280696581,0.822827196495924,0.825259795856169,0.823405611168459,0.815275335707105,0.818092473513719,0.82357435771305,0.824491082284675,0.816545699979014,0.821543503597945,0.82259800638316,0.819753243042975,0.820186331409606,Extra biomarkers,0.00353362486752755,0.816652706542078,0.823719956277133,XGB.153
XGB,729,0.818949139433293,0.817899514970275,0.813612111887555,0.819355656530018,0.823343777176811,0.824721765186814,0.824751896285344,0.815661376906218,0.818464531326793,0.822799783807406,0.824419582750295,0.81601251878468,0.820880351434476,0.822375441756605,0.819524135366297,0.820184772240192,Extra biomarkers,0.00351911076885702,0.816665661471335,0.823703883009049,XGB.729
XGB,1317,0.819068971695566,0.818487195714345,0.813203913442606,0.819395436376923,0.822660858459599,0.82460401354094,0.823935954146259,0.81650915341317,0.818597214631003,0.824126782455123,0.825031260164703,0.815887142007936,0.820305597371224,0.821789492632662,0.819088690157058,0.820179445080608,Extra biomarkers,0.00349011875242175,0.816689326328186,0.82366956383303,XGB.1317
XGB,1349,0.819263859672698,0.8178385774001,0.814112834431813,0.819265743412589,0.823326313217784,0.82463226345527,0.823582005582416,0.816264706294482,0.81885785575162,0.823909420081579,0.825150079907491,0.815163439565456,0.819714243878092,0.82293404345852,0.818602729218451,0.820174541021891,Extra biomarkers,0.00354971097656195,0.816624830045329,0.823724251998453,XGB.1349
XGB,1353,0.819033976401762,0.817873601056142,0.814745694258788,0.818921548501571,0.822911998576059,0.825141872044237,0.824110900879636,0.815718735592128,0.819448507453885,0.823230561198888,0.824808047515733,0.815582250818583,0.820220001765472,0.821471659151484,0.819384584732988,0.82017359599649,Extra biomarkers,0.00337943631799609,0.816794159678494,0.823553032314486,XGB.1353
XGB,1285,0.819809291180892,0.816979550296875,0.81395008274097,0.819305476052912,0.823761070758742,0.824050053422847,0.82370727931559,0.815204252152497,0.818313731107446,0.823460124916186,0.824779166712264,0.816290846446123,0.81963887742417,0.822088271721448,0.821113912467622,0.820163465781106,Extra biomarkers,0.00348753440392922,0.816675931377177,0.823651000185035,XGB.1285
XGB,1345,0.819027139770554,0.818642800548323,0.813118574086504,0.819118246198816,0.823572573622973,0.824788835831291,0.824269578614704,0.815586972821446,0.819132875105302,0.823009786793633,0.824357155251253,0.814999369099739,0.821029147734344,0.822471166887566,0.819188362641959,0.820154172333894,Extra biomarkers,0.00364093947757817,0.816513232856316,0.823795111811472,XGB.1345
